Ch1 Amplitude,Ch2 Amplitude,Cluster
2638.46045,7685.16064,1
2638.50073,1712.951,1
2638.56934,1767.47314,1
2638.59741,7652.78467,1
2638.59766,1569.56335,1
2638.60645,1771.07617,1
2638.64,1761.29578,1
2638.65747,1751.75244,1
2638.67773,7370.35742,1
2638.71753,1743.54639,1
2639.06934,7429.45654,1
2639.0708,1764.02222,1
2639.15967,1720.05664,1
2639.17,1633.98987,1
2639.17139,7590.34131,1
2639.34839,1763.72339,1
2639.4585,7485.414,1
2639.49316,1764.54041,1
2639.64331,1871.6449,1
2639.74023,7375.56152,1
2639.75757,1794.21167,1
2639.85278,1741.04688,1
2639.864,7493.122,1
2639.94238,1797.51538,1
2639.98779,1763.125,1
2639.99829,7477.983,1
2640.02979,1727.527,1
2640.09985,1766.56982,1
2640.11719,1704.29407,1
2640.23169,1719.72681,1
2640.233,1678.45447,1
2640.24878,1741.01611,1
2640.2583,7292.848,1
2640.32861,1705.43372,1
2640.35,7541.97656,1
2640.35474,1821.91956,1
2640.39233,1712.149,1
2640.42651,1634.93054,1
2640.48315,1767.87463,1
2640.65161,1753.1366,1
2640.654,1650.09912,1
2640.65479,7452.9917,1
2640.66357,6992.20654,1
2640.70557,1764.37671,1
2640.77026,7633.35,1
2640.784,7622.357,1
2640.802,7566.8667,1
2640.81665,1709.19067,1
2640.83765,1797.36157,1
2640.95654,1615.62231,1
2640.97241,7287.472,1
2641.082,7407.42773,1
2641.09546,7412.29346,1
2641.11157,7336.85254,1
2641.20386,7537.1416,1
2641.22119,7715.16748,1
2641.22583,1677.95935,1
2641.29761,7622.7876,1
2641.32,1763.24036,1
2641.44629,7394.67041,1
2641.51978,1654.74,1
2641.53979,1760.0741,1
2641.56519,1731.573,1
2641.662,7365.59033,1
2641.67017,7433.17432,1
2641.73218,1657.18262,1
2641.742,7638.6,1
2641.749,1769.90369,1
2641.776,1765.5293,1
2641.7998,1808.32019,1
2641.82153,7626.533,1
2641.841,1806.57288,1
2641.841,8098.137,1
2641.93018,1860.13123,1
2641.99927,1793.67908,1
2642.04785,1833.099,1
2642.06079,7323.098,1
2642.074,1704.871,1
2642.19531,7638.21338,1
2642.2417,1745.9928,1
2642.275,1726.05945,1
2642.29761,1753.31848,1
2642.39185,1746.62183,1
2642.44165,7239.39746,1
2642.471,1725.80835,1
2642.55347,7607.323,1
2642.55518,1902.29663,1
2642.58,1781.81982,1
2642.58936,7560.32666,1
2642.6228,7540.76953,1
2642.67676,7497.707,1
2642.729,1831.98486,1
2642.74927,1751.56409,1
2642.76221,1835.75122,1
2642.81079,7613.38672,1
2642.87939,1708.44727,1
2642.95679,7501.72949,1
2642.974,1727.06116,1
2643.03,1781.60583,1
2643.07324,1700.291,1
2643.13062,1724.66309,1
2643.131,1798.967,1
2643.16064,7383.518,1
2643.34937,1771.30713,1
2643.37183,7854.54736,1
2643.427,7263.03662,1
2643.44141,7457.596,1
2643.459,1753.05176,1
